trade_id,symbol,entry_time,exit_time,qty,entry_price,exit_price,pnl,return_pct,holding_days,entry_strategy_id,entry_strategy_version_id,entry_signal_strength,entry_confidence,entry_reason,entry_price_source,exit_reason,exit_strategy_id,exit_trigger,market_regime,outcome_label
broker_match_0145_PTF,PTF,2026-05-14T14:31:16.861172Z,2026-05-14T15:14:22.245687Z,788,122.53,123.15,488.2,0.0051,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (11.62%) indicates breakout (intraday weak: smoothed=-6.46%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0138_PSCT,PSCT,2026-05-14T14:31:21.322225Z,2026-05-14T15:14:11.410447Z,723,79.35,79.6,180.75,0.0032,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.8490144111313578,"Strong bullish momentum (9.99%) indicates breakout + Intraday confirmed (smoothed=4.81%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0139_PSCT,PSCT,2026-05-14T14:31:21.322225Z,2026-05-14T17:23:40.161607Z,476,79.35,78.99,-171.36,-0.0045,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.8490144111313578,"Strong bullish momentum (9.99%) indicates breakout + Intraday confirmed (smoothed=4.81%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0167_SHOC,SHOC,2026-05-14T14:31:24.90849Z,2026-05-14T15:30:37.758962Z,945,108.61,109.2,557.55,0.0054,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.85,"Strong bullish momentum (12.49%) indicates breakout + Intraday confirmed (smoothed=12.41%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0206_TTEQ,TTEQ,2026-05-14T14:31:32.087159Z,2026-05-14T15:30:49.407586Z,1608,41.62,41.79,273.36,0.0041,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,0.7081462475946132,0.5016035920461843,"Strong bullish momentum (5.90%) indicates breakout + Intraday confirmed (smoothed=3.01%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0176_SMH,SMH,2026-05-14T14:31:33.651563Z,2026-05-14T15:30:43.037877Z,177,576.93,580.28,592.95,0.0058,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (12.58%) indicates breakout (intraday weak: smoothed=-0.43%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0073_GTOP,GTOP,2026-05-14T14:31:38.540941Z,2026-05-14T15:14:07.870845Z,1125,47.11,47.21,112.5,0.0021,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,0.6490765171503972,0.45976253298153136,"Strong bullish momentum (5.41%) indicates breakout + Intraday confirmed (smoothed=26.40%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0189_SOXQ,SOXQ,2026-05-14T14:31:44.515677Z,2026-05-14T15:30:45.529987Z,171,94.85,95.39,92.07,0.0057,0,breakout_momentum_v1,breakout_momentum_v2_threshold_tuned,1.0,0.85,Strong bullish momentum (15.83%) indicates breakout (intraday weak: smoothed=-2.34%),,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0030_AVGO,AVGO,2026-05-14T15:30:53.339973Z,2026-05-14T17:23:26.610164Z,202,439.74,432.07,-1550.04,-0.0175,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.85,"Strong bullish momentum (16.82%) indicates breakout + Intraday confirmed (smoothed=0.50%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
broker_match_0031_AVGO,AVGO,2026-05-14T15:30:53.339973Z,2026-05-15T13:31:23.268217Z,1,439.74,427.41,-12.33,-0.028,0,breakout_momentum_v1_intraday_enhanced,breakout_momentum_v2_threshold_tuned,1.0,0.85,"Strong bullish momentum (16.82%) indicates breakout + Intraday confirmed (smoothed=0.50%, VWAP=neutral)",,broker_fill,broker_reconstructed,,neutral,neutral
