endpoint,started_at,duration_ms,status,error_type,retry_count,symbol
broker.fetch_bars,2026-06-30T19:55:16.115940+00:00,986.3,ok,,0,TSM
broker.fetch_bars,2026-06-30T19:55:16.613946+00:00,495.1,ok,,0,QTEC
broker.fetch_bars,2026-06-30T19:55:16.640192+00:00,475.1,ok,,0,PTF
broker.fetch_bars,2026-06-30T19:55:17.104473+00:00,517.8,ok,,0,MRVL
broker.fetch_bars,2026-06-30T19:55:16.116149+00:00,2383.8,ok,,0,TSLA
broker.fetch_bars,2026-06-30T19:55:16.651415+00:00,1973.6,ok,,0,PSCT
broker.fetch_bars,2026-06-30T19:55:16.738547+00:00,2002.9,ok,,0,MU
broker.fetch_bars,2026-06-30T19:55:16.737137+00:00,2235.6,ok,,0,NBIS
broker.fetch_bars,2026-06-30T19:55:18.502101+00:00,483.2,ok,,0,FTXL
broker.fetch_bars,2026-06-30T19:55:18.975055+00:00,545.3,ok,,0,DELL
broker.fetch_bars,2026-06-30T19:55:19.522519+00:00,534.2,ok,,0,CRWD
broker.fetch_bars,2026-06-30T19:55:17.624437+00:00,2600.6,ok,,0,INTC
broker.fetch_bars,2026-06-30T19:55:20.058864+00:00,525.6,ok,,0,CRDO
broker.fetch_bars,2026-06-30T19:55:20.586779+00:00,484.2,ok,,0,CHPX
broker.fetch_bars,2026-06-30T19:55:16.734180+00:00,4449.7,error,SourceRateLimitError,0,PANW
broker.fetch_bars,2026-06-30T19:55:17.111128+00:00,4444.1,error,SourceRateLimitError,0,LRCX
broker.fetch_bars,2026-06-30T19:55:17.116544+00:00,4440.1,error,SourceRateLimitError,0,KLAC
broker.fetch_bars,2026-06-30T19:55:21.073129+00:00,486.8,ok,,0,CHPS
broker.fetch_bars,2026-06-30T19:55:21.556752+00:00,567.1,ok,,0,ANET
broker.fetch_bars,2026-06-30T19:55:21.555366+00:00,602.7,ok,,0,ARM
broker.fetch_bars,2026-06-30T19:55:22.159376+00:00,506.2,ok,,0,QTUM
broker.fetch_bars,2026-06-30T19:55:22.126084+00:00,544.0,ok,,0,AMAT
broker.fetch_bars,2026-06-30T19:55:18.626664+00:00,4501.1,ok,,0,FTNT
broker.fetch_bars,2026-06-30T19:55:21.184055+00:00,2002.9,ok,,0,ASML
broker.fetch_bars,2026-06-30T19:55:18.743536+00:00,4474.1,error,SourceRateLimitError,0,FRWD
broker.fetch_bars,2026-06-30T19:55:18.986526+00:00,4525.0,ok,,0,DDOG
broker.fetch_bars,2026-06-30T19:55:20.227222+00:00,4487.8,ok,,0,CIEN
broker.fetch_bars,2026-06-30T19:55:21.562085+00:00,4520.7,ok,,0,AMD
broker.fetch_bars,2026-06-30T19:55:22.667793+00:00,4474.9,ok,,0,GTOP
broker.fetch_account,2026-07-01T13:25:04.090898+00:00,490.6,ok,,0,
broker.fetch_positions,2026-07-01T13:25:07.731087+00:00,494.6,ok,,0,
broker.fetch_account,2026-07-01T13:35:04.407574+00:00,604.8,ok,,0,
