cumulative_closed_trades,cumulative_profit_factor,cumulative_win_rate,date,equity,loss_count,orders_submitted,realized_pnl,signals_generated,total_pnl,trade_count,unrealized_pnl,win_count
185,0.6782,0.4216,2026-07-23,986866.63,0,3,0,6,0.0,0,0.0,0
189,0.6598,0.4127,2026-07-23,984292.57,4,0,-6014.37,3,-6014.37,4,0.0,0
189,0.6598,0.4127,2026-07-23,983434.83,4,1,-6014.37,3,-6014.37,4,0.0,0
190,0.6604,0.4158,2026-07-24,984060.96,0,0,0,0,-5198.26,0,-5198.26,0
190,0.6604,0.4158,2026-07-24,985860.59,0,1,0,4,0.0,0,0.0,0
190,0.6604,0.4158,2026-07-25,983695.46,0,0,0,0,-5564.18,0,-5564.18,0
202,0.7274,0.4554,2026-07-27,985678.4,0,0,0,0,-3535.69,0,-3535.69,0
202,0.7274,0.4554,2026-07-27,985682.72,0,0,0,0,-3531.37,0,-3531.37,0
202,0.7274,0.4554,2026-07-27,985682.72,0,0,0,0,-3531.37,0,-3531.37,0
202,0.7274,0.4554,2026-07-27,985682.72,0,0,0,0,-3531.37,0,-3531.37,0
202,0.7274,0.4554,2026-07-27,986282.83,0,0,0,0,-2931.26,0,-2931.26,0
202,0.7274,0.4554,2026-07-27,986832.6,0,0,0,3,0.0,0,0.0,0
202,0.7274,0.4554,2026-07-27,983595.73,0,0,0,3,0.0,0,0.0,0
202,0.7274,0.4554,2026-07-27,983994.49,0,1,0,4,0.0,0,0.0,0
203,0.7228,0.4532,2026-07-28,983717.77,0,0,0,0,-4004.99,0,-4004.99,0
196,0.7183,0.4541,2026-07-28,977818.52,0,3,0,4,0.0,0,0.0,0
200,0.6909,0.445,2026-07-29,979587.82,0,0,0,0,-2042.02,0,-2042.02,0
