trade_id,symbol,asset_class,entry_time,exit_time,holding_days,quantity,entry_price,exit_price,realized_pnl,quarantine_reason,exit_reason
broker_match_0072_DELL,DELL,stock,2026-06-09T19:56:00.671817Z,2026-05-14T17:23:28.763823Z,-26.1059,,379.29,244.78,,migrate_quarantine_invalid_trades: entry_time=2026-06-09T19:56:00 exit_time=2026-05-14T17:23:28 holding_days=-26.1059,broker_fill
broker_match_0073_DELL,DELL,stock,2026-07-01T16:01:17.659768Z,2026-05-14T17:23:28.763823Z,-47.9429,,434.08,244.78,,migrate_quarantine_invalid_trades: entry_time=2026-07-01T16:01:17 exit_time=2026-05-14T17:23:28 holding_days=-47.9429,broker_fill
broker_match_0091_HPE,HPE,stock,2026-05-13T15:02:58.744947Z,2026-05-13T13:30:01.473841Z,-0.0646,,30.93,30.5,,migrate_quarantine_invalid_trades: entry_time=2026-05-13T15:02:58 exit_time=2026-05-13T13:30:01 holding_days=-0.0646,broker_fill
broker_match_0093_HPE,HPE,stock,2026-05-14T15:31:15.241074Z,2026-05-13T15:31:07.309142Z,-1.0001,,34.68,30.82,,migrate_quarantine_invalid_trades: entry_time=2026-05-14T15:31:15 exit_time=2026-05-13T15:31:07 holding_days=-1.0001,broker_fill
broker_match_0095_HPE,HPE,stock,2026-05-20T13:30:23.721111Z,2026-05-14T17:23:34.941235Z,-5.8381,,32.98,33.38,,migrate_quarantine_invalid_trades: entry_time=2026-05-20T13:30:23 exit_time=2026-05-14T17:23:34 holding_days=-5.8381,broker_fill
broker_match_0096_HPE,HPE,stock,2026-05-27T17:02:47.934942Z,2026-05-14T17:23:34.941235Z,-12.9856,,37.06,33.38,,migrate_quarantine_invalid_trades: entry_time=2026-05-27T17:02:47 exit_time=2026-05-14T17:23:34 holding_days=-12.9856,broker_fill
broker_match_0097_HPE,HPE,stock,2026-06-04T14:02:51.523715Z,2026-05-14T17:23:34.941235Z,-20.8606,,52.87,33.38,,migrate_quarantine_invalid_trades: entry_time=2026-06-04T14:02:51 exit_time=2026-05-14T17:23:34 holding_days=-20.8606,broker_fill
broker_match_0098_HPE,HPE,stock,2026-06-09T19:55:56.863797Z,2026-05-14T17:23:34.941235Z,-26.1058,,47.93,33.38,,migrate_quarantine_invalid_trades: entry_time=2026-06-09T19:55:56 exit_time=2026-05-14T17:23:34 holding_days=-26.1058,broker_fill
broker_match_0116_KLAC,KLAC,stock,2026-06-29T13:37:00.855447Z,2026-06-26T13:35:23.41956Z,-3.0011,,256.69,247.15,,migrate_quarantine_invalid_trades: entry_time=2026-06-29T13:37:00 exit_time=2026-06-26T13:35:23 holding_days=-3.0011,broker_fill
broker_match_0117_KLAC,KLAC,stock,2026-07-01T16:01:15.905352Z,2026-06-26T13:35:23.41956Z,-5.1013,,271.14,247.15,,migrate_quarantine_invalid_trades: entry_time=2026-07-01T16:01:15 exit_time=2026-06-26T13:35:23 holding_days=-5.1013,broker_fill
broker_match_0118_KLAC,KLAC,stock,2026-07-01T16:01:15.905352Z,2026-07-01T13:37:20.70413Z,-0.0999,,271.14,277.46,,migrate_quarantine_invalid_trades: entry_time=2026-07-01T16:01:15 exit_time=2026-07-01T13:37:20 holding_days=-0.0999,broker_fill
broker_match_0145_NBIS,NBIS,stock,2026-05-13T15:03:08.715064Z,2026-05-13T13:32:12.166813Z,-0.0632,,208.1,208.99,,migrate_quarantine_invalid_trades: entry_time=2026-05-13T15:03:08 exit_time=2026-05-13T13:32:12 holding_days=-0.0632,broker_fill
broker_match_0147_NBIS,NBIS,stock,2026-05-20T13:33:52.959858Z,2026-05-13T17:32:19.136655Z,-6.8344,,199.73,213.6,,migrate_quarantine_invalid_trades: entry_time=2026-05-20T13:33:52 exit_time=2026-05-13T17:32:19 holding_days=-6.8344,broker_fill
broker_match_0148_NBIS,NBIS,stock,2026-06-04T14:03:00.314442Z,2026-05-13T17:32:19.136655Z,-21.8546,,238.79,213.6,,migrate_quarantine_invalid_trades: entry_time=2026-06-04T14:03:00 exit_time=2026-05-13T17:32:19 holding_days=-21.8546,broker_fill
broker_match_0149_NBIS,NBIS,stock,2026-06-04T14:03:00.314442Z,2026-05-22T17:00:38.534241Z,-12.8766,,238.79,215.88,,migrate_quarantine_invalid_trades: entry_time=2026-06-04T14:03:00 exit_time=2026-05-22T17:00:38 holding_days=-12.8766,broker_fill
broker_match_0151_NBIS,NBIS,stock,2026-06-09T19:56:02.140414Z,2026-06-08T13:37:45.090394Z,-1.2627,,218.86,229.32,,migrate_quarantine_invalid_trades: entry_time=2026-06-09T19:56:02 exit_time=2026-06-08T13:37:45 holding_days=-1.2627,broker_fill
broker_match_0154_NBIS,NBIS,stock,2026-06-25T16:00:42.686138Z,2026-06-25T13:37:27.542121Z,-0.0995,,257.36,271.74,,migrate_quarantine_invalid_trades: entry_time=2026-06-25T16:00:42 exit_time=2026-06-25T13:37:27 holding_days=-0.0995,broker_fill
broker_match_0179_PTF,PTF,etf,2026-05-13T14:04:23.96685Z,2026-05-13T13:33:47.184434Z,-0.0213,,120.72,122.01,,migrate_quarantine_invalid_trades: entry_time=2026-05-13T14:04:23 exit_time=2026-05-13T13:33:47 holding_days=-0.0213,broker_fill
broker_match_0181_PTF,PTF,etf,2026-05-13T17:32:31.298287Z,2026-05-13T14:46:04.988607Z,-0.1156,,122.96,121.07,,migrate_quarantine_invalid_trades: entry_time=2026-05-13T17:32:31 exit_time=2026-05-13T14:46:04 holding_days=-0.1156,broker_fill
broker_match_0183_PTF,PTF,etf,2026-05-14T14:31:16.861172Z,2026-05-14T13:31:33.13156Z,-0.0415,,122.53,121.05,,migrate_quarantine_invalid_trades: entry_time=2026-05-14T14:31:16 exit_time=2026-05-14T13:31:33 holding_days=-0.0415,broker_fill
broker_match_0185_PTF,PTF,etf,2026-05-14T17:23:51.707667Z,2026-05-14T15:14:22.245687Z,-0.0899,,122.8,123.15,,migrate_quarantine_invalid_trades: entry_time=2026-05-14T17:23:51 exit_time=2026-05-14T15:14:22 holding_days=-0.0899,broker_fill
broker_match_0187_PTF,PTF,etf,2026-05-15T14:14:43.076713Z,2026-05-15T13:33:46.697448Z,-0.0284,,119.84,118.52,,migrate_quarantine_invalid_trades: entry_time=2026-05-15T14:14:43 exit_time=2026-05-15T13:33:46 holding_days=-0.0284,broker_fill
