decision_id,symbol,timestamp,model,input_tokens,output_tokens,token_estimated,action,run_id,prompt_version,latency_ms
22dc9250-e0ed-bc67-865d-2fc166bace9a,ANET,,rule_based:breakout_momentum_v1,254,27,False,buy,,,
ebfee0c7-8763-922a-b516-a325d392d6d6,ANET,,rule_based:breakout_momentum_v1,250,20,False,buy,,,
e74e5f09-7ae5-d09b-4dfd-dac31b297045,ANET,,rule_based:breakout_momentum_v1,250,20,False,buy,,,
d6b24fcb-9cf8-84c9-5dae-eeec8188faa4,ANET,,rule_based:simple_exit_v2,107,20,False,sell,,,
3670ca12-c34b-dedd-f14b-ad73c975435d,ANET,,rule_based:breakout_momentum_v1,245,20,False,buy,,,
d84194eb-e9e4-a546-79ac-a64e1ce4647f,ANET,,rule_based:breakout_momentum_v1,250,20,False,buy,,,
ca05af41-2b3c-f9d7-0ee4-47d7208180e4,ANET,,rule_based:breakout_momentum_v1,250,20,False,buy,,,
8e1dcf73-1076-0dfa-2bf4-f2abb7f5e7a0,ANET,,rule_based:breakout_momentum_v1,245,20,False,buy,,,
6e5a2a1f-25ce-4a00-6dce-7f954de3fc98,ANET,,rule_based:breakout_momentum_v1,244,20,False,buy,,,
0f0803f7-9ce7-65e9-1659-d9ed388ec935,ANET,,rule_based:simple_exit_v2,235,20,False,sell,,,
e9f0ce74-1fcf-4e95-0e25-a8efdc068a2e,ANET,,rule_based:simple_exit_v2,226,20,False,sell,,,
49b422f9-1a5f-dbda-b45a-e1dcb5bb60bc,ANET,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
cb17e233-6d3c-c387-3efb-8940917a5d7d,ANET,,rule_based:breakout_momentum_v1,245,27,False,buy,,,
e4b7d235-c4ec-21e8-ae00-0740b659c2e1,ANET,,rule_based:simple_exit_v2,187,20,False,sell,,,
661ed156-729a-3ffb-40d6-1ba682821633,ANET,,rule_based:breakout_momentum_v1,330,27,False,buy,,,
508218c1-27bf-9f74-14b2-90a41f751c57,ANET,,rule_based:breakout_momentum_v1_intraday_enhanced,147,27,False,buy,,,
4209aeb2-639e-0da5-c7fe-3a5e748f8f15,ANET,,rule_based:breakout_momentum_v1,135,27,False,buy,,,
f046b74a-f8f5-b287-dbeb-ff5cf2ca7bf7,ANET,,rule_based:breakout_momentum_v1,330,27,False,buy,,,
0cc141d3-5598-9466-ba04-89b3cc76ab43,ANET,,rule_based:simple_exit_v2,188,20,False,sell,,,
d993836e-5cb2-8873-2539-96b47753aab7,ANET,,breakout_momentum_v1,134,27,False,buy,,breakout_momentum_v2_threshold_tuned,
ac5fe580-092d-12a8-0218-7a1a0788045f,ANET,,breakout_momentum_v1_intraday_enhanced,147,27,False,buy,,breakout_momentum_v2_threshold_tuned,
37be7f31-243f-5ff5-d6d9-2b3cfab18c8a,ANET,,breakout_momentum_v1,134,27,False,buy,,breakout_momentum_v2_threshold_tuned,
564db941-511a-e4ef-2a81-0cd3b6adde67,ANET,,breakout_momentum_v1,144,36,False,deny,,breakout_momentum_v2_threshold_tuned,
42c41cd2-f39d-4d3e-33f2-7e3a60581461,ANET,,simple_exit_v2,115,20,False,sell,,simple_exit_v2,
eaffb399-c002-1b46-2429-b2dbe88e2edc,ANET,,breakout_momentum_v1,144,36,False,deny,,breakout_momentum_v2_threshold_tuned,
7d8b8fef-3a4c-007d-94b4-b6534ef42acc,ANET,,breakout_momentum_v1,134,27,False,buy,,breakout_momentum_v2_threshold_tuned,
12f7b526-3de2-3a35-8be8-d62f505e17a2,ANET,,breakout_momentum_v1,153,37,False,deny,,breakout_momentum_v2_threshold_tuned,
a18a4186-8646-1567-ec43-a493e3573427,ANET,,simple_exit_v2,109,20,False,sell,,simple_exit_v2,
81872790-68d8-6022-69d0-442cd3cc448b,ARM,,rule_based:breakout_momentum_v1,254,20,False,buy,,,
c18aa8d9-f3e1-cb9b-587c-2032758e71f4,ARM,,rule_based:breakout_momentum_v1_intraday_enhanced,254,20,False,buy,,,
d573e387-2c0b-163b-5cad-425e7ee47cef,ARM,,rule_based:breakout_momentum_v1,254,20,False,buy,,,
fa0b26c3-0b08-07ee-b960-0d2d3d7f8385,ARM,,rule_based:breakout_momentum_v1,254,20,False,buy,,,
c7a2e1c0-e92f-6b20-4149-d3f099e28a58,ARM,,rule_based:breakout_momentum_v1_intraday_enhanced,259,20,False,buy,,,
2b27c7e4-af72-09d3-25d9-4bc0b5403ef2,ARM,,rule_based:breakout_momentum_v1,246,27,False,buy,,,
a1c98f43-fd30-6a97-175a-214b63c46fb4,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
3db00a51-5daa-d731-fb84-802511e8de9b,ARM,,rule_based:breakout_momentum_v1,243,20,False,buy,,,
a417d010-b079-eb3a-3c7e-fc03e9ac7b91,ARM,,rule_based:breakout_momentum_v1,246,20,False,buy,,,
3d8ac8ff-97e3-a116-1ec5-f37d7a81a722,ARM,,rule_based:breakout_momentum_v1,246,20,False,buy,,,
99184a2d-1c99-1063-10a6-bc6a5cca2ac4,ARM,,rule_based:breakout_momentum_v1,249,20,False,buy,,,
ecaa13f3-1d99-6229-99a6-7d1f1a3044e2,ARM,,rule_based:breakout_momentum_v1,247,20,False,buy,,,
b707c072-36a7-64a3-d0ac-23acf6b844c3,ARM,,rule_based:breakout_momentum_v1,246,20,False,buy,,,
4b1a4d9f-4a80-291a-3314-0ac8218237c5,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
1cef28b6-3dc0-430d-7a87-e2cadf30be95,ARM,,rule_based:breakout_momentum_v1,247,20,False,buy,,,
d1d17644-c777-060f-5364-f289d623c0fe,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
16fdde3a-9a15-0409-8514-a5a3995de26c,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
930165de-7048-51e0-bb35-f49c8eec795d,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
6ce111a7-75f4-db2a-bb0b-52cb9eab32dd,ARM,,rule_based:simple_exit_v2,234,20,False,sell,,,
927fc0be-8f22-090b-83d7-fd7c747b612b,ARM,,rule_based:breakout_momentum_v1,103,20,False,buy,,,
9cd838ad-8746-6430-3a5c-11be6ed5ac7b,ARM,,rule_based:breakout_momentum_v1,246,20,False,buy,,,
8ab1ffc2-b72d-53f5-d7da-21d7dff5ccc0,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
2e27e87c-7602-de7f-5135-b49b85695384,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
3455a498-5913-4b31-2f8d-bb172ba6b51c,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
cfd7a197-7d0a-13ba-c3f0-3ab876a52c5b,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
96e5c6fa-5e13-068e-34c6-81b5628fad8f,ARM,,rule_based:breakout_momentum_v1,243,20,False,buy,,,
d3584a8e-9249-8ecb-a229-921badb67634,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
dbc2719a-509a-477b-f6d9-5a3bc19d9f05,ARM,,rule_based:breakout_momentum_v1,248,20,False,buy,,,
d8e95193-0c4b-a4ba-2a3e-9081d6990810,ARM,,rule_based:breakout_momentum_v1,242,20,False,buy,,,
fa9aac19-203b-5911-c2f5-bddbcf9d7af0,ARM,,rule_based:breakout_momentum_v1,235,20,False,buy,,,
941d5b73-bdc8-5a71-2936-14d091964ea1,ARM,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
4b4f9a20-f004-f6d2-81a0-1583d462851f,ARM,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
d28abf9b-6c8b-0b6d-09e7-56fa14250db5,ARM,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
6fdb29e0-746d-0128-d64b-717b2afbee2b,ARM,,rule_based:simple_exit_v2,233,20,False,sell,,,
682d2d95-013d-9542-e021-140f78ed31fe,ARM,,rule_based:simple_exit_v2,225,20,False,sell,,,
d93389d6-c5ed-4770-fdd1-4795b296b756,ARM,,rule_based:breakout_momentum_v1,81,20,False,buy,,,
91fcb1a0-6ef2-b690-0195-09f721dd4194,ARM,,rule_based:breakout_momentum_v1,82,20,False,buy,,,
